Partner_Name,Partner_Type,Service_Area,Integration_Type,Region,Industry_Vertical,Status
Jaguar Land Rover,OEM,Connected Services,OEM Integration,Global,Automotive,Active - 30 years experience
Ryder,Enterprise Customer,Fleet Management,Long-term Partnership,United States,Fleet Leasing,Active - Over a decade
Fleetcor,Technology,Fuel Cards,API Integration,Americas,Fuel Management,Active
Fleetio,Technology,Fleet Maintenance,API Integration,Americas,Maintenance Software,Active
FourKites,Technology,Supply Chain Visibility,API Integration,Global,Logistics,Active
Lee Trans,Technology,Transportation Software,API Integration,Americas,TMS,Active
Loadrite,Technology,Weighing Systems,Hardware Integration,Global,Construction,Active
Pressure Pro,Technology,Tire Monitoring,Hardware Integration,Americas,Safety,Active
ProMiles,Technology,Mileage and Routing,API Integration,Americas,Compliance,Active
Route4Me,Technology,Route Planning,API Integration,Global,Routing,Active
Shipwell,Technology,TMS Platform,API Integration,Americas,Logistics,Active
Thermo King,Technology,Refrigeration,Hardware Integration,Global,Cold Chain,Active
AdvanPro,Technology,Fleet Software,API Integration,Americas,Fleet Management,Active
AssistCargo,Technology,Cargo Management,API Integration,Latin America,Logistics,Active
LIS Software Solutions,Technology,Fleet Software,API Integration,Americas,Fleet Management,Active
Recurso Confiable (Unigis),Technology,Route Optimization,API Integration,Latin America,Logistics,Active
Sistemas Laredo,Technology,Fleet Software,API Integration,Americas,Fleet Management,Active
