Category,Subcategory,Description,Notes
GPS Fleet Management,100K+ Units,Principal suppliers with 100K+ units in service in U.S. market,Target wide range of fleet categories
GPS Fleet Management,<100K Units,Suppliers with less than 100K units in service,
Resellers,GPS Fleet Management,Resellers of GPS fleet management solutions,
White-Label,GPS Fleet Management,Suppliers of white-labeled GPS fleet management solutions,
International,Non-North America Based,U.S. GPS fleet management suppliers based outside North America,
Vertical Markets,Trucking and Logistics,MRM solutions for trucking and logistics,
Vertical Markets,Commercial Vehicle OEM Telematics,Factory-installed telematics solutions,
Vertical Markets,Supply Chain Visibility,Supply chain visibility platforms,
Vertical Markets,Taxi Fleets,MRM solutions for taxi fleets,
Vertical Markets,Public Transit,MRM solutions for public transit fleets,
Vertical Markets,Public Safety,MRM solutions for public safety fleets,
Vertical Markets,Oil & Gas,MRM solutions for oil & gas sector,
Vertical Markets,Other Vertical Markets,MRM solutions for other vertical fleet markets,
Specialized Solutions,Driver Behavior Management,Driver behavior management systems,
Specialized Solutions,Fleet Insurance Telematics,Fleet insurance telematics solutions,
Specialized Solutions,Cellular Carrier Programs,Cellular carrier MRM partners and programs,
Specialized Solutions,Field Service Management,Field service management solutions,
Specialized Solutions,Trailers and Containers,Monitoring systems for trailers and containers,
Specialized Solutions,Heavy Construction Equipment,MRM solutions for heavy construction equipment,
Equipment Suppliers,MRM Hardware,Mobile resource management system equipment suppliers,
