Company,OEM_Partner,Integration_Type,Product_Program,Launch_Year,Benefits,Geographic_Market,Page_Reference
Trimble,PACCAR (Peterbilt),Remote Diagnostics Partner,SmartLINQ,2015,Upsell FM functionality beyond diagnostics; ELD compliance features,North America,193
Trimble,PACCAR (Kenworth),Remote Diagnostics Partner,TruckTech+,2015,Upsell FM functionality beyond diagnostics; ELD compliance features,North America,193
Trimble,PACCAR,OEM Pre-wire,Various Trucks,Multi-year,Simplified installation,North America,193
Trimble,PACCAR (Kenworth),Partnership,Kenworth Trucks,Ongoing,Mexican market partnership,Mexico,193
Trimble,Freightliner (Daimler),OEM Pre-wire,Various Trucks,Multi-year,Simplified installation,North America,193
Trimble,Mack (Volvo Group),OEM Pre-wire,Various Trucks,Multi-year,Simplified installation,North America,193
Trimble,Volvo (Volvo Group),OEM Pre-wire,Various Trucks,Multi-year,Simplified installation,North America,193
Trimble,International (Navistar),Remote Diagnostics Portal,OnCommand Connection,Ongoing,Full integration for remote diagnostics,North America,193
Trimble,Cummins,Engine Diagnostics,Diagnostics Collaboration,Ongoing,Engine diagnostics integration,North America,193
Verizon Connect,Ford,OEM Integration,Self/no-install options,Current,Frictionless onboarding,North America,196
Verizon Connect,GM Fleet,OEM Integration,Self/no-install options,Current,Frictionless onboarding,North America,196
Verizon Connect,Volvo,OEM Integration,Self/no-install options,Current,Frictionless onboarding,North America,196
Verizon Connect,Mack,OEM Integration,Self/no-install options,Current,Frictionless onboarding,North America,196
Verizon Connect,John Deere,OEM Integration,Self/no-install options,Current,Frictionless onboarding,North America,196
Road Ready,Wabash,Factory Installation,Trailer Telematics,Current,Pre-installed telematics,North America,211
Road Ready,Hyundai Translead,Factory Installation,Trailer Telematics,Current,Pre-installed telematics,North America,211
Road Ready,Stoughton,Factory Installation,Trailer Telematics,Current,Pre-installed telematics,North America,211
Road Ready,East,Factory Installation,Trailer Telematics,Current,Pre-installed telematics,North America,211
