Pricing Model,Description,Typical Price Range,Market Segment,Trends
Basic Bundled Solutions,Hardware lease + recurring service in single monthly fee,$22-27/month,Local Fleet,Common in SMB market
Full SaaS/Bundled,Hardware and service combined,Varies,Local Fleet,Increasingly common
Tiered Pricing,Multiple service levels at different price points,Varies,Local Fleet,Enables low-cost and premium segments
Video Add-on,Video solution added to basic GPS tracking,Can nearly double ARPU,All segments,High-growth revenue source
OBD-II Plug-in Devices,Self-installed devices,Lower cost,Local Fleet,Reducing installation costs
Hardwired Devices,Professional installation required,Higher cost,Declining,Being replaced by plug-in
Service Fee Trends,Basic fleet management fees,Gradual decline,Local Fleet,Price erosion over time
ARPU with Video,Average revenue per unit with video,~2x basic ARPU,All segments,Significant revenue increase
Month-to-Month Contracts,No long-term commitment,Varies,SMB,Customer preference
Contract-based Pricing,Multi-year agreements,Varies,Enterprise,Traditional model
Average Fleet Size Serviced,Typical customer fleet size,10-20 vehicles or less,SMB providers,Small fleet focus
Hardware Cost Trend,In-vehicle device pricing,Declining,All segments,Enabling market growth
Installation Cost Trend,Professional installation,Declining,All segments,Shift to plug-in devices
Video ARPU Future,Expected video pricing,Price erosion anticipated,All segments,Competition increasing
TSP Valuation Impact,SaaS focus effect,Higher valuations,TSPs,Attractive to acquirers
